year,stocklong,bbmsy,ffmsy,region ,FisheryType
2013,White hake Georges Bank / Gulf of Maine,0.770875576,0.5479,US East Coast,Gadids
2014,White hake Georges Bank / Gulf of Maine,0.877204301,0.4043,US East Coast,Gadids
2015,White hake Georges Bank / Gulf of Maine,0.877204301,0.4043,US East Coast,Gadids
1980,Winter flounder Georges Bank,2.594029851,0.7817,US East Coast,Flatfish
1981,Winter flounder Georges Bank,2.594029851,0.7817,US East Coast,Flatfish
1982,Winter flounder Georges Bank,2.594029851,0.7817,US East Coast,Flatfish
1983,Winter flounder Georges Bank,2.45880597,0.8116,US East Coast,Flatfish
1984,Winter flounder Georges Bank,1.572089552,2.1922,US East Coast,Flatfish
1985,Winter flounder Georges Bank,0.933731343,1.5075,US East Coast,Flatfish
1986,Winter flounder Georges Bank,1.166716418,1.0672,US East Coast,Flatfish
1987,Winter flounder Georges Bank,1.206268657,1.4104,US East Coast,Flatfish
1988,Winter flounder Georges Bank,0.997313433,1.7183,US East Coast,Flatfish
1989,Winter flounder Georges Bank,0.790746269,1.5728,US East Coast,Flatfish
1990,Winter flounder Georges Bank,1.029104478,1.6996,US East Coast,Flatfish
1991,Winter flounder Georges Bank,1.013432836,1.084,US East Coast,Flatfish
1992,Winter flounder Georges Bank,0.83358209,1.4179,US East Coast,Flatfish
1993,Winter flounder Georges Bank,0.722537313,1.6567,US East Coast,Flatfish
1994,Winter flounder Georges Bank,0.563880597,0.8657,US East Coast,Flatfish
1995,Winter flounder Georges Bank,0.510447761,0.5784,US East Coast,Flatfish
1996,Winter flounder Georges Bank,0.703731343,0.8601,US East Coast,Flatfish
1997,Winter flounder Georges Bank,1.026119403,0.8507,US East Coast,Flatfish
1998,Winter flounder Georges Bank,1.102835821,0.9515,US East Coast,Flatfish
1999,Winter flounder Georges Bank,1.447014925,0.4907,US East Coast,Flatfish
2000,Winter flounder Georges Bank,2.040298507,0.5149,US East Coast,Flatfish
2001,Winter flounder Georges Bank,1.579850746,0.9739,US East Coast,Flatfish
2002,Winter flounder Georges Bank,1.490298507,1.0429,US East Coast,Flatfish
2003,Winter flounder Georges Bank,1.356716418,1.6642,US East Coast,Flatfish
2004,Winter flounder Georges Bank,0.74880597,1.2985,US East Coast,Flatfish
2005,Winter flounder Georges Bank,0.660597015,1.2668,US East Coast,Flatfish
2006,Winter flounder Georges Bank,0.668358209,0.4944,US East Coast,Flatfish
2007,Winter flounder Georges Bank,0.644179104,0.5765,US East Coast,Flatfish
2008,Winter flounder Georges Bank,0.586716418,0.6922,US East Coast,Flatfish
2009,Winter flounder Georges Bank,0.639104478,0.8563,US East Coast,Flatfish
2010,Winter flounder Georges Bank,0.745820896,0.681,US East Coast,Flatfish
2011,Winter flounder Georges Bank,0.769701493,0.9459,US East Coast,Flatfish
2012,Winter flounder Georges Bank,0.720746269,0.9328,US East Coast,Flatfish
2013,Winter flounder Georges Bank,0.693283582,0.9944,US East Coast,Flatfish
2014,Winter flounder Georges Bank,0.787313433,0.7071,US East Coast,Flatfish
2015,Winter flounder Georges Bank,0.787313433,0.7071,US East Coast,Flatfish
1980,Winter flounder Southern New England /Mid Atlantic,0.763851753,2.0338,US East Coast,Flatfish
1981,Winter flounder Southern New England /Mid Atlantic,0.763851753,2.0338,US East Coast,Flatfish
1982,Winter flounder Southern New England /Mid Atlantic,0.803475936,1.7138,US East Coast,Flatfish
1983,Winter flounder Southern New England /Mid Atlantic,0.717914439,1.9754,US East Coast,Flatfish
1984,Winter flounder Southern New England /Mid Atlantic,0.627525253,2.3969,US East Coast,Flatfish
1985,Winter flounder Southern New England /Mid Atlantic,0.446598336,3.1415,US East Coast,Flatfish
1986,Winter flounder Southern New England /Mid Atlantic,0.357211824,2.4831,US East Coast,Flatfish
1987,Winter flounder Southern New England /Mid Atlantic,0.291815211,2.9538,US East Coast,Flatfish
1988,Winter flounder Southern New England /Mid Atlantic,0.240047534,3.3662,US East Coast,Flatfish
1989,Winter flounder Southern New England /Mid Atlantic,0.209707368,3.0677,US East Coast,Flatfish
1990,Winter flounder Southern New England /Mid Atlantic,0.211044266,2.56,US East Coast,Flatfish
1991,Winter flounder Southern New England /Mid Atlantic,0.222110814,2.9969,US East Coast,Flatfish
1992,Winter flounder Southern New England /Mid Atlantic,0.193961676,2.5631,US East Coast,Flatfish
1993,Winter flounder Southern New England /Mid Atlantic,0.154820261,2.7292,US East Coast,Flatfish
1994,Winter flounder Southern New England /Mid Atlantic,0.157791147,1.7938,US East Coast,Flatfish
1995,Winter flounder Southern New England /Mid Atlantic,0.227866904,1.5631,US East Coast,Flatfish
1996,Winter flounder Southern New England /Mid Atlantic,0.256164587,1.5323,US East Coast,Flatfish
1997,Winter flounder Southern New England /Mid Atlantic,0.300207962,1.56,US East Coast,Flatfish
1998,Winter flounder Southern New England /Mid Atlantic,0.310866013,1.3077,US East Coast,Flatfish
1999,Winter flounder Southern New England /Mid Atlantic,0.329953951,1.3138,US East Coast,Flatfish
2000,Winter flounder Southern New England /Mid Atlantic,0.359068627,1.5508,US East Coast,Flatfish
2001,Winter flounder Southern New England /Mid Atlantic,0.332553476,1.9692,US East Coast,Flatfish
2002,Winter flounder Southern New England /Mid Atlantic,0.25207962,1.7538,US East Coast,Flatfish
2003,Winter flounder Southern New England /Mid Atlantic,0.231431967,1.56,US East Coast,Flatfish
2004,Winter flounder Southern New England /Mid Atlantic,0.205325312,1.3169,US East Coast,Flatfish
2005,Winter flounder Southern New England /Mid Atlantic,0.18646019,1.0892,US East Coast,Flatfish
2006,Winter flounder Southern New England /Mid Atlantic,0.204879679,1.2677,US East Coast,Flatfish
2007,Winter flounder Southern New England /Mid Atlantic,0.23536839,1.1138,US East Coast,Flatfish
2008,Winter flounder Southern New England /Mid Atlantic,0.206179441,0.8462,US East Coast,Flatfish
2009,Winter flounder Southern New England /Mid Atlantic,0.187091503,0.3538,US East Coast,Flatfish
2010,Winter flounder Southern New England /Mid Atlantic,0.021761735,0.2092,US East Coast,Flatfish
2011,Winter flounder Southern New England /Mid Atlantic,0.257947118,0.2831,US East Coast,Flatfish
2012,Winter flounder Southern New England /Mid Atlantic,0.26426025,0.3385,US East Coast,Flatfish
2013,Winter flounder Southern New England /Mid Atlantic,0.262811943,0.5754,US East Coast,Flatfish
2014,Winter flounder Southern New England /Mid Atlantic,0.228423945,0.4862,US East Coast,Flatfish
2015,Winter flounder Southern New England /Mid Atlantic,0.228423945,0.4862,US East Coast,Flatfish
1980,Witch flounder Gulf of Maine,1.784334424,0.9391,US East Coast,Flatfish
1981,Witch flounder Gulf of Maine,1.784334424,0.9391,US East Coast,Flatfish
1982,Witch flounder Gulf of Maine,1.784334424,0.9391,US East Coast,Flatfish
1983,Witch flounder Gulf of Maine,1.41866357,1.81,US East Coast,Flatfish
1984,Witch flounder Gulf of Maine,1.218304655,2.2616,US East Coast,Flatfish
1985,Witch flounder Gulf of Maine,1.101129526,2.4301,US East Coast,Flatfish
1986,Witch flounder Gulf of Maine,1.008022802,1.8065,US East Coast,Flatfish
1987,Witch flounder Gulf of Maine,0.944790457,2.1613,US East Coast,Flatfish
1988,Witch flounder Gulf of Maine,0.877335585,2.5197,US East Coast,Flatfish
1989,Witch flounder Gulf of Maine,0.776945002,1.5735,US East Coast,Flatfish
1990,Witch flounder Gulf of Maine,0.668426053,0.9068,US East Coast,Flatfish
1991,Witch flounder Gulf of Maine,0.733241845,0.8889,US East Coast,Flatfish
1992,Witch flounder Gulf of Maine,0.743798163,0.8065,US East Coast,Flatfish
1993,Witch flounder Gulf of Maine,0.614694395,1.595,US East Coast,Flatfish
1994,Witch flounder Gulf of Maine,0.459727647,2.147,US East Coast,Flatfish
1995,Witch flounder Gulf of Maine,0.430169957,2.2366,US East Coast,Flatfish
1996,Witch flounder Gulf of Maine,0.409585137,4.0753,US East Coast,Flatfish
1997,Witch flounder Gulf of Maine,0.439353953,3.8781,US East Coast,Flatfish
1998,Witch flounder Gulf of Maine,0.543650375,2.3513,US East Coast,Flatfish
1999,Witch flounder Gulf of Maine,0.630951124,1.9427,US East Coast,Flatfish
2000,Witch flounder Gulf of Maine,0.718357437,2.0251,US East Coast,Flatfish
2001,Witch flounder Gulf of Maine,0.704634224,3.2545,US East Coast,Flatfish
2002,Witch flounder Gulf of Maine,0.64974137,1.9534,US East Coast,Flatfish
2003,Witch flounder Gulf of Maine,0.578275098,2.7061,US East Coast,Flatfish
2004,Witch flounder Gulf of Maine,0.439881769,3.3548,US East Coast,Flatfish
2005,Witch flounder Gulf of Maine,0.3844611,3.0789,US East Coast,Flatfish
2006,Witch flounder Gulf of Maine,0.273619761,3.2222,US East Coast,Flatfish
2007,Witch flounder Gulf of Maine,0.252823815,2.0358,US East Coast,Flatfish
2008,Witch flounder Gulf of Maine,0.271402935,2.3584,US East Coast,Flatfish
2009,Witch flounder Gulf of Maine,0.280059115,2.0896,US East Coast,Flatfish
2010,Witch flounder Gulf of Maine,0.249445793,2.405,US East Coast,Flatfish
2011,Witch flounder Gulf of Maine,0.243745382,2.2688,US East Coast,Flatfish
2012,Witch flounder Gulf of Maine,0.261479996,2.7957,US East Coast,Flatfish
2013,Witch flounder Gulf of Maine,0.26327457,2.2832,US East Coast,Flatfish
2014,Witch flounder Gulf of Maine,0.330307189,1.5341,US East Coast,Flatfish
2015,Witch flounder Gulf of Maine,0.330307189,1.5341,US East Coast,Flatfish
1980,Yellowtail flounder Cape Cod / Gulf of Maine,0.13880966,7.3754,US East Coast,Flatfish
1981,Yellowtail flounder Cape Cod / Gulf of Maine,0.13880966,7.3754,US East Coast,Flatfish
1982,Yellowtail flounder Cape Cod / Gulf of Maine,0.13880966,7.3754,US East Coast,Flatfish
1983,Yellowtail flounder Cape Cod / Gulf of Maine,0.13880966,7.3754,US East Coast,Flatfish
1984,Yellowtail flounder Cape Cod / Gulf of Maine,0.13880966,7.3754,US East Coast,Flatfish
1985,Yellowtail flounder Cape Cod / Gulf of Maine,0.13880966,7.3754,US East Coast,Flatfish
1986,Yellowtail flounder Cape Cod / Gulf of Maine,0.172656399,2.7736,US East Coast,Flatfish
1987,Yellowtail flounder Cape Cod / Gulf of Maine,0.220003803,2.8282,US East Coast,Flatfish
1988,Yellowtail flounder Cape Cod / Gulf of Maine,0.127400647,9.2907,US East Coast,Flatfish
1989,Yellowtail flounder Cape Cod / Gulf of Maine,0.288077581,5.5675,US East Coast,Flatfish
1990,Yellowtail flounder Cape Cod / Gulf of Maine,0.500665526,2.8114,US East Coast,Flatfish
1991,Yellowtail flounder Cape Cod / Gulf of Maine,0.261456551,7.2257,US East Coast,Flatfish
1992,Yellowtail flounder Cape Cod / Gulf of Maine,0.20041833,5.5579,US East Coast,Flatfish
1993,Yellowtail flounder Cape Cod / Gulf of Maine,0.195664575,4.2714,US East Coast,Flatfish
1994,Yellowtail flounder Cape Cod / Gulf of Maine,0.248716486,4.8443,US East Coast,Flatfish
1995,Yellowtail flounder Cape Cod / Gulf of Maine,0.221334855,7.2043,US East Coast,Flatfish
1996,Yellowtail flounder Cape Cod / Gulf of Maine,0.236166572,4.3586,US East Coast,Flatfish
1997,Yellowtail flounder Cape Cod / Gulf of Maine,0.204031185,5.9111,US East Coast,Flatfish
1998,Yellowtail flounder Cape Cod / Gulf of Maine,0.180452558,8.9161,US East Coast,Flatfish
1999,Yellowtail flounder Cape Cod / Gulf of Maine,0.3040502,4.0979,US East Coast,Flatfish
2000,Yellowtail flounder Cape Cod / Gulf of Maine,0.332002282,7.2468,US East Coast,Flatfish
2001,Yellowtail flounder Cape Cod / Gulf of Maine,0.325537174,6.4089,US East Coast,Flatfish
2002,Yellowtail flounder Cape Cod / Gulf of Maine,0.341319643,5.5621,US East Coast,Flatfish
2003,Yellowtail flounder Cape Cod / Gulf of Maine,0.256892945,5.2414,US East Coast,Flatfish
2004,Yellowtail flounder Cape Cod / Gulf of Maine,0.166571592,6.1786,US East Coast,Flatfish
2005,Yellowtail flounder Cape Cod / Gulf of Maine,0.1306332,6.0168,US East Coast,Flatfish
2006,Yellowtail flounder Cape Cod / Gulf of Maine,0.127020346,5.2854,US East Coast,Flatfish
2007,Yellowtail flounder Cape Cod / Gulf of Maine,0.150028523,3.7729,US East Coast,Flatfish
2008,Yellowtail flounder Cape Cod / Gulf of Maine,0.179501806,4.1529,US East Coast,Flatfish
2009,Yellowtail flounder Cape Cod / Gulf of Maine,0.212968245,2.6614,US East Coast,Flatfish
2010,Yellowtail flounder Cape Cod / Gulf of Maine,0.280281422,1.7529,US East Coast,Flatfish
2011,Yellowtail flounder Cape Cod / Gulf of Maine,0.315459213,2.305,US East Coast,Flatfish
2012,Yellowtail flounder Cape Cod / Gulf of Maine,0.244343031,3.4886,US East Coast,Flatfish
2013,Yellowtail flounder Cape Cod / Gulf of Maine,0.224187108,2.9229,US East Coast,Flatfish
2014,Yellowtail flounder Cape Cod / Gulf of Maine,0.322304621,1.2664,US East Coast,Flatfish
2015,Yellowtail flounder Cape Cod / Gulf of Maine,0.322304621,1.2664,US East Coast,Flatfish
1980,Yellowtail flounder Georges Bank,0.251944444,2.8346,US East Coast,Flatfish
1981,Yellowtail flounder Georges Bank,0.234814815,4.8819,US East Coast,Flatfish
1982,Yellowtail flounder Georges Bank,0.300347222,4.3307,US East Coast,Flatfish
1983,Yellowtail flounder Georges Bank,0.257013889,2.6378,US East Coast,Flatfish
1984,Yellowtail flounder Georges Bank,0.089050926,7.126,US East Coast,Flatfish
1985,Yellowtail flounder Georges Bank,0.059212963,4.0551,US East Coast,Flatfish
1986,Yellowtail flounder Georges Bank,0.074305556,3.1496,US East Coast,Flatfish
1987,Yellowtail flounder Georges Bank,0.063657407,5.2756,US East Coast,Flatfish
1988,Yellowtail flounder Georges Bank,0.05087963,6.1417,US East Coast,Flatfish
1989,Yellowtail flounder Georges Bank,0.096527778,3.6614,US East Coast,Flatfish
1990,Yellowtail flounder Georges Bank,0.109953704,3.7008,US East Coast,Flatfish
1991,Yellowtail flounder Georges Bank,0.080671296,5.2756,US East Coast,Flatfish
1992,Yellowtail flounder Georges Bank,0.103518519,4.685,US East Coast,Flatfish
1993,Yellowtail flounder Georges Bank,0.091805556,5.7874,US East Coast,Flatfish
1994,Yellowtail flounder Georges Bank,0.065347222,7.2047,US East Coast,Flatfish
1995,Yellowtail flounder Georges Bank,0.068078704,3.6614,US East Coast,Flatfish
1996,Yellowtail flounder Georges Bank,0.115578704,2.2441,US East Coast,Flatfish
1997,Yellowtail flounder Georges Bank,0.147685185,2.0079,US East Coast,Flatfish
1998,Yellowtail flounder Georges Bank,0.168101852,2.6378,US East Coast,Flatfish
1999,Yellowtail flounder Georges Bank,0.222222222,2.6378,US East Coast,Flatfish
2000,Yellowtail flounder Georges Bank,0.237962963,3.7795,US East Coast,Flatfish
2001,Yellowtail flounder Georges Bank,0.215277778,3.8189,US East Coast,Flatfish
2002,Yellowtail flounder Georges Bank,0.236134259,2.5197,US East Coast,Flatfish
2003,Yellowtail flounder Georges Bank,0.236550926,2.3622,US East Coast,Flatfish
2004,Yellowtail flounder Georges Bank,0.135856481,7.1654,US East Coast,Flatfish
2005,Yellowtail flounder Georges Bank,0.096226852,4.5669,US East Coast,Flatfish
2006,Yellowtail flounder Georges Bank,0.102476852,3.5039,US East Coast,Flatfish
2007,Yellowtail flounder Georges Bank,0.220509259,1.1417,US East Coast,Flatfish
2008,Yellowtail flounder Georges Bank,0.220509259,1.1417,US East Coast,Flatfish
2009,Yellowtail flounder Georges Bank,0.220509259,1.1417,US East Coast,Flatfish
2010,Yellowtail flounder Georges Bank,0.220509259,1.1417,US East Coast,Flatfish
2011,Yellowtail flounder Georges Bank,0.220509259,1.1417,US East Coast,Flatfish
2012,Yellowtail flounder Georges Bank,0.220509259,1.1417,US East Coast,Flatfish
2013,Yellowtail flounder Georges Bank,0.220509259,1.1417,US East Coast,Flatfish
2014,Yellowtail flounder Georges Bank,0.220509259,1.1417,US East Coast,Flatfish
2015,Yellowtail flounder Georges Bank,0.220509259,1.1417,US East Coast,Flatfish
1980,Yellowtail flounder Southern New England /Mid Atlantic,4.310673813,2.6966,US East Coast,Flatfish
1981,Yellowtail flounder Southern New England /Mid Atlantic,5.028836141,1.9534,US East Coast,Flatfish
1982,Yellowtail flounder Southern New England /Mid Atlantic,8.749617152,2.6541,US East Coast,Flatfish
1983,Yellowtail flounder Southern New England /Mid Atlantic,8.388412455,3.9534,US East Coast,Flatfish
1984,Yellowtail flounder Southern New England /Mid Atlantic,2.871837672,5.579,US East Coast,Flatfish
1985,Yellowtail flounder Southern New England /Mid Atlantic,1.284338948,5.1884,US East Coast,Flatfish
1986,Yellowtail flounder Southern New England /Mid Atlantic,1.362276672,3.4971,US East Coast,Flatfish
1987,Yellowtail flounder Southern New England /Mid Atlantic,0.960985197,3.1974,US East Coast,Flatfish
1988,Yellowtail flounder Southern New England /Mid Atlantic,1.33993364,1.1496,US East Coast,Flatfish
1989,Yellowtail flounder Southern New England /Mid Atlantic,5.727871363,4.9213,US East Coast,Flatfish
1990,Yellowtail flounder Southern New England /Mid Atlantic,5.514854518,8.9677,US East Coast,Flatfish
1991,Yellowtail flounder Southern New England /Mid Atlantic,2.014589076,6.7657,US East Coast,Flatfish
1992,Yellowtail flounder Southern New England /Mid Atlantic,0.832531904,5.9075,US East Coast,Flatfish
1993,Yellowtail flounder Southern New England /Mid Atlantic,0.505567637,3.0562,US East Coast,Flatfish
1994,Yellowtail flounder Southern New England /Mid Atlantic,0.306095967,5.0128,US East Coast,Flatfish
1995,Yellowtail flounder Southern New England /Mid Atlantic,0.406038795,2.2723,US East Coast,Flatfish
1996,Yellowtail flounder Southern New England /Mid Atlantic,0.746140888,2.5063,US East Coast,Flatfish
1997,Yellowtail flounder Southern New England /Mid Atlantic,0.668014293,4.2409,US East Coast,Flatfish
1998,Yellowtail flounder Southern New England /Mid Atlantic,0.707886677,4.2592,US East Coast,Flatfish
1999,Yellowtail flounder Southern New England /Mid Atlantic,0.825410924,4.5821,US East Coast,Flatfish
2000,Yellowtail flounder Southern New England /Mid Atlantic,0.828330781,4.42,US East Coast,Flatfish
2001,Yellowtail flounder Southern New England /Mid Atlantic,0.774624809,5.0974,US East Coast,Flatfish
2002,Yellowtail flounder Southern New England /Mid Atlantic,0.62935171,3.5296,US East Coast,Flatfish
2003,Yellowtail flounder Southern New England /Mid Atlantic,0.502784074,2.6716,US East Coast,Flatfish
2004,Yellowtail flounder Southern New England /Mid Atlantic,0.336965799,3.1589,US East Coast,Flatfish
2005,Yellowtail flounder Southern New England /Mid Atlantic,0.3076927,2.3185,US East Coast,Flatfish
2006,Yellowtail flounder Southern New England /Mid Atlantic,0.457217458,2.3323,US East Coast,Flatfish
2007,Yellowtail flounder Southern New England /Mid Atlantic,0.689086269,1.8743,US East Coast,Flatfish
2008,Yellowtail flounder Southern New England /Mid Atlantic,0.709433384,1.6923,US East Coast,Flatfish
2009,Yellowtail flounder Southern New England /Mid Atlantic,0.651750893,1.3139,US East Coast,Flatfish
2010,Yellowtail flounder Southern New England /Mid Atlantic,0.685028076,0.8466,US East Coast,Flatfish
2011,Yellowtail flounder Southern New England /Mid Atlantic,0.698009188,1.1668,US East Coast,Flatfish
2012,Yellowtail flounder Southern New England /Mid Atlantic,0.614548239,2.0561,US East Coast,Flatfish
2013,Yellowtail flounder Southern New England /Mid Atlantic,0.455706993,2.8722,US East Coast,Flatfish
2014,Yellowtail flounder Southern New England /Mid Atlantic,0.256231751,4.6963,US East Coast,Flatfish
2015,Yellowtail flounder Southern New England /Mid Atlantic,0.256231751,4.6963,US East Coast,Flatfish
1980,Arrowtooth flounder Pacific Coast,1.309858366,0.472727273,US West Coast,Flatfish
1981,Arrowtooth flounder Pacific Coast,1.418754864,0.590909091,US West Coast,Flatfish
1982,Arrowtooth flounder Pacific Coast,1.480983658,0.918181818,US West Coast,Flatfish
1983,Arrowtooth flounder Pacific Coast,1.48743035,0.8,US West Coast,Flatfish
1984,Arrowtooth flounder Pacific Coast,1.553615564,0.818181818,US West Coast,Flatfish
1985,Arrowtooth flounder Pacific Coast,1.647943969,0.872727273,US West Coast,Flatfish
1986,Arrowtooth flounder Pacific Coast,1.715825681,0.7,US West Coast,Flatfish
1987,Arrowtooth flounder Pacific Coast,1.757148638,0.818181818,US West Coast,Flatfish
1988,Arrowtooth flounder Pacific Coast,1.752068482,0.609090909,US West Coast,Flatfish
1989,Arrowtooth flounder Pacific Coast,1.779277821,0.927272727,US West Coast,Flatfish
1990,Arrowtooth flounder Pacific Coast,1.75551751,1.336363636,US West Coast,Flatfish
1991,Arrowtooth flounder Pacific Coast,1.656498054,1.245454545,US West Coast,Flatfish
1992,Arrowtooth flounder Pacific Coast,1.605789883,0.972727273,US West Coast,Flatfish
1993,Arrowtooth flounder Pacific Coast,1.602471595,0.772727273,US West Coast,Flatfish
1994,Arrowtooth flounder Pacific Coast,1.635887938,0.818181818,US West Coast,Flatfish
1995,Arrowtooth flounder Pacific Coast,1.70505214,0.627272727,US West Coast,Flatfish
1996,Arrowtooth flounder Pacific Coast,1.735654475,0.6,US West Coast,Flatfish
1997,Arrowtooth flounder Pacific Coast,1.700329961,0.6,US West Coast,Flatfish
1998,Arrowtooth flounder Pacific Coast,1.674754864,0.727272727,US West Coast,Flatfish
1999,Arrowtooth flounder Pacific Coast,1.648619455,1.236363636,US West Coast,Flatfish
2000,Arrowtooth flounder Pacific Coast,1.508715953,0.909090909,US West Coast,Flatfish
2001,Arrowtooth flounder Pacific Coast,1.396196109,0.772727273,US West Coast,Flatfish
2002,Arrowtooth flounder Pacific Coast,1.317671595,0.718181818,US West Coast,Flatfish
2003,Arrowtooth flounder Pacific Coast,1.38423035,0.745454545,US West Coast,Flatfish
2004,Arrowtooth flounder Pacific Coast,1.588202335,0.690909091,US West Coast,Flatfish
2005,Arrowtooth flounder Pacific Coast,1.758328405,0.563636364,US West Coast,Flatfish
2006,Arrowtooth flounder Pacific Coast,1.887421012,0.4,US West Coast,Flatfish
2007,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2008,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2009,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2010,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2011,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2012,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2013,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2014,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2015,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2016,Arrowtooth flounder Pacific Coast,1.970474708,0.4,US West Coast,Flatfish
2017,Arrowtooth flounder Pacific Coast,1.970474708,NA,US West Coast,Flatfish
1980,Bocaccio Southern Pacific Coast,1.968433956,1.7,US West Coast,Rockfish
1981,Bocaccio Southern Pacific Coast,2.065890285,1.828571429,US West Coast,Rockfish
1982,Bocaccio Southern Pacific Coast,2.011032792,2.314285714,US West Coast,Rockfish
1983,Bocaccio Southern Pacific Coast,1.769843702,2.342857143,US West Coast,Rockfish
1984,Bocaccio Southern Pacific Coast,1.476861784,2.271428571,US West Coast,Rockfish
1985,Bocaccio Southern Pacific Coast,1.198283788,1.671428571,US West Coast,Rockfish
1986,Bocaccio Southern Pacific Coast,1.031566044,2.042857143,US West Coast,Rockfish
1987,Bocaccio Southern Pacific Coast,0.955562366,1.9,US West Coast,Rockfish
1988,Bocaccio Southern Pacific Coast,0.904995403,1.814285714,US West Coast,Rockfish
1989,Bocaccio Southern Pacific Coast,0.829604658,2.271428571,US West Coast,Rockfish
1990,Bocaccio Southern Pacific Coast,0.732761263,2.357142857,US West Coast,Rockfish
1991,Bocaccio Southern Pacific Coast,0.687097763,1.657142857,US West Coast,Rockfish
1992,Bocaccio Southern Pacific Coast,0.675452038,1.842857143,US West Coast,Rockfish
1993,Bocaccio Southern Pacific Coast,0.63224027,1.742857143,US West Coast,Rockfish
1994,Bocaccio Southern Pacific Coast,0.589947901,1.542857143,US West Coast,Rockfish
1995,Bocaccio Southern Pacific Coast,0.555010726,0.957142857,US West Coast,Rockfish
1996,Bocaccio Southern Pacific Coast,0.535090408,0.757142857,US West Coast,Rockfish
1997,Bocaccio Southern Pacific Coast,0.51762182,0.7,US West Coast,Rockfish
1998,Bocaccio Southern Pacific Coast,0.495862703,0.314285714,US West Coast,Rockfish
1999,Bocaccio Southern Pacific Coast,0.482684646,0.328571429,US West Coast,Rockfish
2000,Bocaccio Southern Pacific Coast,0.467974257,0.228571429,US West Coast,Rockfish
2001,Bocaccio Southern Pacific Coast,0.476248851,0.171428571,US West Coast,Rockfish
2002,Bocaccio Southern Pacific Coast,0.545816733,0.171428571,US West Coast,Rockfish
2003,Bocaccio Southern Pacific Coast,0.611400552,0.014285714,US West Coast,Rockfish
2004,Bocaccio Southern Pacific Coast,0.649708857,0.085714286,US West Coast,Rockfish
2005,Bocaccio Southern Pacific Coast,0.665338645,0.228571429,US West Coast,Rockfish
2006,Bocaccio Southern Pacific Coast,0.672387374,0.085714286,US West Coast,Rockfish
2007,Bocaccio Southern Pacific Coast,0.676064971,0.114285714,US West Coast,Rockfish
2008,Bocaccio Southern Pacific Coast,0.671467974,0.071428571,US West Coast,Rockfish
2009,Bocaccio Southern Pacific Coast,0.659822249,0.085714286,US West Coast,Rockfish
2010,Bocaccio Southern Pacific Coast,0.638982531,0.085714286,US West Coast,Rockfish
2011,Bocaccio Southern Pacific Coast,0.615691082,0.128571429,US West Coast,Rockfish
2012,Bocaccio Southern Pacific Coast,0.607416488,0.142857143,US West Coast,Rockfish
2013,Bocaccio Southern Pacific Coast,0.636837266,0.142857143,US West Coast,Rockfish
2014,Bocaccio Southern Pacific Coast,0.694146491,0.085714286,US West Coast,Rockfish
2015,Bocaccio Southern Pacific Coast,0.798958014,0.085714286,US West Coast,Rockfish
2016,Bocaccio Southern Pacific Coast,0.798958014,0.085714286,US West Coast,Rockfish
2017,Bocaccio Southern Pacific Coast,0.798958014,NA,US West Coast,Rockfish
1980,Canary rockfish Pacific Coast,1.26635514,3.227272727,US West Coast,Rockfish
1981,Canary rockfish Pacific Coast,1.160881175,2.340909091,US West Coast,Rockfish
1982,Canary rockfish Pacific Coast,1.097463284,3.886363636,US West Coast,Rockfish
1983,Canary rockfish Pacific Coast,0.956275033,4.068181818,US West Coast,Rockfish
1984,Canary rockfish Pacific Coast,0.825433912,2.386363636,US West Coast,Rockfish
1985,Canary rockfish Pacific Coast,0.793391188,2.704545455,US West Coast,Rockfish
1986,Canary rockfish Pacific Coast,0.761348465,2.454545455,US West Coast,Rockfish
1987,Canary rockfish Pacific Coast,0.752336449,3.068181818,US West Coast,Rockfish
1988,Canary rockfish Pacific Coast,0.719626168,3.159090909,US West Coast,Rockfish
1989,Canary rockfish Pacific Coast,0.681909212,3.659090909,US West Coast,Rockfish
1990,Canary rockfish Pacific Coast,0.62082777,3.363636364,US West Coast,Rockfish
1991,Canary rockfish Pacific Coast,0.573431242,4.090909091,US West Coast,Rockfish
1992,Canary rockfish Pacific Coast,0.507343124,4,US West Coast,Rockfish
1993,Canary rockfish Pacific Coast,0.455273698,3.340909091,US West Coast,Rockfish
1994,Canary rockfish Pacific Coast,0.429906542,1.840909091,US West Coast,Rockfish
1995,Canary rockfish Pacific Coast,0.447930574,1.545454545,US West Coast,Rockfish
1996,Canary rockfish Pacific Coast,0.473965287,1.886363636,US West Coast,Rockfish
1997,Canary rockfish Pacific Coast,0.490654206,1.772727273,US West Coast,Rockfish
1998,Canary rockfish Pacific Coast,0.512683578,1.727272727,US West Coast,Rockfish
